Marca_Celular,Venta_Moneda
Xiaomi,$374424449242221000
Huawei,$250305339192540900
Motorola,$172492173264665800
Samsung,$111733427770887200
Alcatel,$90278265009529744
Caterpillar,$78558933096642496
Hyundai,$68081773022554800
Iphone,$49519284490516208
Celular Generico-Repuestos,$47430000056582896
Sony,$46499295027719600
Quantum,$36441900016501280
Blu,$27899900071742488
Bgh,$25799940004024184
Nokia,$25328160021069608
Kanji,$23969700002816144
Audinac,$13196700000044988
Lg,$8099700269271633
Zte,$4570476001224781
Panacom,$4085954000652691
Kodak,$24389669
Noblex,$16077960
Tcl,$11559510
Enova,$11012370
Blackview,$3566835
Philips,$2469063
Philco,$1999290
Maxwest,$1767752
Sky,$1689440
Htc,$1612499
Blackberry,$1277645
Ulefone,$1150800
Spanky,$891390
Doogee,$585200
Ipro,$550730
Diva,$439750
Razer,$424990
Daewoo,$359880
Asus,$344500
One Plus,$299990
Oppo,$299990
Ruggear,$295940
Nextel,$275635
Genious Touch,$259630
Neso,$215760
Pcd,$214647
Sansei,$205906
Lenovo,$179990
Admiral,$143970
Datsun,$123950
Figo,$112930
Archos,$100970
Ken Brown,$99980
Pcbox,$88990
Leeco,$87500
Lumee,$86128
Woo,$79890
Akua,$55930
Dtc,$53200
Overtech,$28590
Top House,$22000
Zylan,$16690
Cx,$15990
Geniphone,$12900
